Date,Closing_rate
1999-01-04,1.1825
1999-01-05,1.1761
1999-01-06,1.1615
1999-01-07,1.1706
1999-01-08,1.157
1999-01-11,1.15
1999-01-12,1.1569
1999-01-13,1.1668
1999-01-14,1.1695
1999-01-15,1.1555
1999-01-18,1.1615
1999-01-19,1.1606
1999-01-20,1.156
1999-01-21,1.1595
1999-01-22,1.1585
1999-01-25,1.1548
1999-01-26,1.1556
1999-01-27,1.1438
1999-01-28,1.1417
1999-01-29,1.1363
1999-02-01,1.1302
1999-02-02,1.1348
1999-02-03,1.1303
1999-02-04,1.1334
1999-02-05,1.1265
1999-02-08,1.1321
1999-02-09,1.1304
1999-02-10,1.1325
1999-02-11,1.1209
1999-02-12,1.1304
1999-02-15,1.1222
1999-02-16,1.12
1999-02-17,1.1244
1999-02-18,1.1198
1999-02-19,1.1074
1999-02-22,1.1032
1999-02-23,1.1006
1999-02-24,1.0998
1999-02-25,1.104
1999-02-26,1.1023
1999-03-01,1.0885
1999-03-02,1.0932
1999-03-03,1.088
1999-03-04,1.0807
1999-03-05,1.0831
1999-03-08,1.088
1999-03-09,1.0885
1999-03-10,1.0942
1999-03-11,1.1028
1999-03-12,1.0907
1999-03-15,1.094
1999-03-16,1.0985
1999-03-17,1.0999
1999-03-18,1.0975
1999-03-19,1.0897
1999-03-22,1.0905
1999-03-23,1.091
1999-03-24,1.088
1999-03-25,1.083
1999-03-26,1.0766
1999-03-29,1.073
1999-03-30,1.0718
1999-03-31,1.0765
1999-04-01,1.0793
1999-04-02,1.0793
1999-04-05,1.0714
1999-04-06,1.0833
1999-04-07,1.0767
1999-04-08,1.0758
1999-04-09,1.0804
1999-04-12,1.0805
1999-04-13,1.078
1999-04-14,1.0801
1999-04-15,1.07
1999-04-16,1.0709
1999-04-19,1.0665
1999-04-20,1.0626
1999-04-21,1.0587
1999-04-22,1.0648
1999-04-23,1.06
1999-04-26,1.0591
1999-04-27,1.0662
1999-04-28,1.0625
1999-04-29,1.0612
1999-04-30,1.0565
1999-05-03,1.0563
1999-05-04,1.0632
1999-05-05,1.0759999999999998
1999-05-06,1.0783
1999-05-07,1.0754
1999-05-10,1.0781
1999-05-11,1.0706
1999-05-12,1.0645
1999-05-13,1.0653
1999-05-14,1.0655
1999-05-17,1.0659999999999998
1999-05-18,1.0678
1999-05-19,1.0661
1999-05-20,1.062
1999-05-21,1.0588
1999-05-24,1.06
1999-05-25,1.0615
1999-05-26,1.0435
1999-05-27,1.0426
1999-05-28,1.0428
1999-05-31,1.042
1999-06-01,1.045
1999-06-02,1.0357
1999-06-03,1.0321
1999-06-04,1.0373
1999-06-07,1.03
1999-06-08,1.0463
1999-06-09,1.0465
1999-06-10,1.048
1999-06-11,1.0515
1999-06-14,1.042
1999-06-15,1.0422
1999-06-16,1.0305
1999-06-17,1.0345
1999-06-18,1.0390000000000001
1999-06-21,1.0347
1999-06-22,1.0323
1999-06-23,1.0333
1999-06-24,1.04
1999-06-25,1.0428
1999-06-28,1.0333
1999-06-29,1.0322
1999-06-30,1.0352
1999-07-01,1.023
1999-07-02,1.0245
1999-07-05,1.022
1999-07-06,1.0236
1999-07-07,1.0216
1999-07-08,1.0216
1999-07-09,1.0195
1999-07-12,1.0144
1999-07-13,1.016
1999-07-14,1.0201
1999-07-15,1.0187
1999-07-16,1.0199
1999-07-19,1.031
1999-07-20,1.0409
1999-07-21,1.0527
1999-07-22,1.0504
1999-07-23,1.051
1999-07-26,1.0654
1999-07-27,1.063
1999-07-28,1.0662
1999-07-29,1.0722
1999-07-30,1.0705
1999-08-02,1.068
1999-08-03,1.0675
1999-08-04,1.0772
1999-08-05,1.0755
1999-08-06,1.0731
1999-08-09,1.0721
1999-08-10,1.0703
1999-08-11,1.0653
1999-08-12,1.0676
1999-08-13,1.0558
1999-08-16,1.058
1999-08-17,1.0505
